population_size,generations,final_hypervolume_mean,final_hypervolume_std,final_hypervolume_min,final_hypervolume_max,final_spread_mean,final_spread_std,final_spacing_mean,final_spacing_std,pareto_size_mean,pareto_size_std,execution_time_mean,execution_time_std,convergence_generation_mean,convergence_generation_std,convergence_generation_<lambda_0>
100,25,1.501668091016072e-08,1.4193251923812855e-08,-0.0,2.821034202503049e-08,0.9521837886290649,0.1441083193755238,0.00019208743623201638,0.00011133153478971323,71.33333333333333,49.652123150307816,25.825788259506226,14.414782873628774,14.0,,1
50,25,9.774244180732057e-09,1.6125319273872036e-08,-0.0,2.8386308336763722e-08,0.9334663432692244,0.09916226968195509,5.278775448656959e-05,2.7079050297176525e-05,45.666666666666664,5.131601439446885,16.851404984792072,3.7625385907499584,11.0,,1
100,50,6.996138077812403e-09,2.519558189364323e-09,5.4715504128821055e-09,9.904334472965246e-09,0.9021712645986217,0.2712498798015962,6.916603620602469e-05,3.254634505674354e-05,87.66666666666667,21.36195996001615,69.82617870966594,16.850843839973997,,,0
50,50,4.6307742333210985e-09,4.183126799963559e-09,1.2377916571444384e-09,9.304563248022365e-09,0.8065029748928625,0.08735976173169482,6.0670629178227646e-05,4.3050896892010275e-05,50.0,0.0,36.371917486190796,11.664602777453718,11.0,0.0,2
