population_size,generations,final_hypervolume_mean,final_hypervolume_std,final_hypervolume_min,final_hypervolume_max,final_spread_mean,final_spread_std,final_spacing_mean,final_spacing_std,pareto_size_mean,pareto_size_std,execution_time_mean,execution_time_std,convergence_generation_mean,convergence_generation_std,convergence_generation_<lambda_0>
50,50,4.2659858199600075e-07,1.0692881369817906e-07,3.5098849272578535e-07,5.022086712662161e-07,0.5038002431266476,0.014553364550939163,0.0003946687837443831,8.099843266314312e-05,50.0,0.0,54.545387625694275,0.6948873982788751,,,0
50,25,1.6639390856986178e-07,8.00428849986829e-08,1.0979504180155815e-07,2.2299277533816543e-07,0.47744083103686386,0.025984682321660176,0.0002785531713316446,3.029894491676765e-05,50.0,0.0,29.84602129459381,2.718030198567665,,,0
100,50,1.364733247319357e-07,6.309358152402764e-08,9.185942538694947e-08,1.810872240769219e-07,0.5055935682837978,0.03587600623517206,0.00018299838580960122,1.7861254603885545e-05,100.0,0.0,121.20045351982117,0.373517509795914,,,0
100,25,7.313211376877128e-08,3.46928266869321e-08,4.860058075991196e-08,9.76636467776306e-08,0.4928922074030318,0.0023671208286692533,0.0001364379458192518,1.5582577463202e-05,100.0,0.0,61.45978367328644,2.1307603946891125,,,0
