population_size,generations,final_hypervolume_mean,final_hypervolume_std,execution_time_mean,convergence_generation_mean
100,100,1.3235196780483691,0.34084610285636824,5.8006638288497925,
100,50,0.7447167998115977,0.021555193149131964,2.708443760871887,
50,50,0.6635994203616185,0.01297937742679595,1.458324670791626,
50,100,0.5845648116129218,0.039250978382064525,2.532629132270813,65.0
