population_size,generations,final_hypervolume_mean,final_hypervolume_std,final_hypervolume_min,final_hypervolume_max,final_spread_mean,final_spread_std,final_spacing_mean,final_spacing_std,pareto_size_mean,pareto_size_std,execution_time_mean,execution_time_std,convergence_generation_mean,convergence_generation_std,convergence_generation_<lambda_0>
300,50,6.452835623373494e-07,3.5251462282018614e-07,3.198510267052674e-07,1.0197468675969243e-06,0.9603116596948355,0.0575482885523853,0.0001052176472218938,1.5872805237907545e-05,300.0,0.0,160.39963579177856,31.611458675757017,,,0
300,25,4.784234009027734e-07,4.7457392617838206e-07,1.0306220801612693e-07,1.0118617052347275e-06,0.9759003258749691,0.03617622645733701,0.00014049041472401964,3.1321021495234866e-05,300.0,0.0,74.7936737537384,13.475831596470778,,,0
300,200,4.729346578635262e-07,2.769615890331877e-07,1.5373692515865768e-07,6.496311081634604e-07,0.98085757189558,0.13478520622994386,0.00010300911034309764,3.734401762301561e-05,300.0,0.0,872.0929969946543,60.225087271623345,,,0
200,25,4.089182147132947e-07,2.6091705990466317e-07,1.3730889918804106e-07,6.576343286671379e-07,1.0142727190298235,0.19423137214518696,0.00014595563523199997,3.0793456777204875e-05,200.0,0.0,48.698668559392296,19.642927129854524,,,0
50,200,3.958412018100358e-07,1.1112664576067179e-07,3.138289113942858e-07,5.223144141466584e-07,0.597774002944227,0.23398731513442744,0.0002546527076661491,6.776380184009766e-05,50.0,0.0,173.29226875305176,5.189620748321969,,,0
100,100,3.594332170855096e-07,1.5876725122006312e-07,2.4071483809076907e-07,5.397738098092456e-07,1.0697062085444002,0.1359448986370275,0.00021897203170929416,5.290417607037458e-05,100.0,0.0,157.88532638549805,22.28113364327565,,,0
100,200,3.265756704310342e-07,1.4965119151945473e-07,1.8586927252775011e-07,4.838009668306172e-07,0.9413760584515986,0.10856443286801878,0.0002061558789074546,7.911273809650656e-05,100.0,0.0,258.2383845647176,18.707732577317696,,,0
200,50,3.259428426619871e-07,1.6121257814850712e-07,1.4482346412782372e-07,4.537358959032967e-07,0.9113976400935083,0.01426058372886647,0.00014484986024383914,7.435462714745502e-05,200.0,0.0,119.67585396766663,25.236531140158746,,,0
50,50,3.065082909336336e-07,1.6016155564863054e-07,1.4771650336574498e-07,4.6800534219136307e-07,0.6884436615139814,0.1461772793341911,0.00025768130704847416,9.740942741392701e-05,50.0,0.0,35.315218448638916,4.509811905009701,,,0
300,100,2.941745156712887e-07,8.254511439722255e-08,2.3549688671505642e-07,3.8856252542426285e-07,0.9494971925613479,0.05200178263226066,0.00010293128707091529,3.3248083893559265e-05,300.0,0.0,398.9828591346741,26.22555782183764,,,0
200,100,2.8086456297016265e-07,2.2561607429466623e-08,2.620095545162567e-07,3.058610306164867e-07,0.9539926241086354,0.12413727716371083,8.810842481714175e-05,1.7331835998495613e-05,200.0,0.0,266.74213139216107,40.14862994617092,,,0
200,200,2.746473674322336e-07,1.0478094593601491e-07,1.7157592133480545e-07,3.8105798802786617e-07,1.0544391479287534,0.06398274550070843,0.00010576036395822396,4.542619409092353e-06,200.0,0.0,571.3034836451212,57.88487289611158,,,0
100,25,2.4898737971442547e-07,1.9767869670471004e-07,1.078087491578228e-07,4.749096046947422e-07,0.9196452714588138,0.1566407227956869,0.0001520859391441216,3.5283028125222245e-05,100.0,0.0,30.367830832799275,3.135906827208926,,,0
100,50,2.166382381424261e-07,8.688154392474255e-08,1.16438567039009e-07,2.7103017199476216e-07,0.9802968283059603,0.07239225730826504,0.00017740271294098856,6.319250238965027e-05,100.0,0.0,67.82047049204509,9.924859975149284,,,0
50,100,2.1141654473939232e-07,1.983530723450699e-07,7.470257606437861e-08,4.3891469089738506e-07,0.6078122704068093,0.23311076850141016,0.00021427127835996155,3.558816247295336e-05,50.0,0.0,81.77794909477234,17.234768030112107,,,0
50,25,1.5126033183449517e-07,8.997712982460422e-08,8.375516873691306e-08,2.534100888209482e-07,0.8033968638678611,0.2769939170724739,0.00018828434163943594,4.9515450056142354e-05,50.0,0.0,19.421353340148926,4.432736697939088,,,0
