population_size,generations,final_hypervolume_mean,final_hypervolume_std,execution_time_mean,convergence_generation_mean
100,50,-0.9137811781418301,0.028467572008932397,2.4910333156585693,
50,50,-1.481674197091658,0.10525949876400609,1.3884540796279907,
50,100,-1.9417235862863462,0.041757487517977705,2.6847236156463623,62.0
100,100,-2.191522308996704,0.4436092473357259,6.325098872184753,
