population_size,generations,final_hypervolume_mean,final_hypervolume_std,execution_time_mean,convergence_generation_mean
100,50,0.6869673256771651,0.334720137800197,2.9282078742980957,
100,100,0.5598032777422104,0.07588496416414453,5.942359209060669,48.0
50,100,0.45603362927903734,0.18087326234327344,2.2931686639785767,43.5
50,50,0.3492067954032384,0.010962855349610678,1.1779309511184692,
