population_size,generations,final_hypervolume_mean,final_hypervolume_std,execution_time_mean,convergence_generation_mean
100,50,0.8788793989622036,0.3118014858903906,2.929053544998169,
100,100,0.8766037851267479,0.4985355174117589,5.496796607971191,
50,100,0.7065165167623406,0.09101424923370087,2.4267539978027344,40.0
50,50,0.5613271320291711,0.11490286562052333,1.4341939687728882,21.0
