final_hv,max_hv,max_hv_generation,execution_time,convergence_generation,num_assets,population_size,generations,run_number
1.0441291504828218,1.0441291504828218,24,2.272409677505493,11,20,50,25,1
1.044517190572283,1.044517190572283,49,4.469482660293579,11,20,50,50,1
1.1031330306700904,1.1031330306700904,99,8.951784133911133,11,20,50,100,1
1.062211530185459,1.062211530185459,24,3.224674701690674,11,20,100,25,1
1.0574292072309976,1.0576377861330062,46,6.141333341598511,11,20,100,50,1
1.1004053189774008,1.1004053189774008,99,12.388436079025269,11,20,100,100,1
1.093169241996585,1.093169241996585,24,4.118130445480347,11,20,150,25,1
1.0506364020719805,1.0507411542832321,47,9.636933326721191,11,20,150,50,1
1.0593500810146919,1.0593500810146919,99,17.781319856643677,11,20,150,100,1
1.0833261544511317,1.0833261544511317,24,2.4023919105529785,11,50,50,25,1
1.10445447813862,1.104455590742934,48,5.235831022262573,11,50,50,50,1
1.0725025605680696,1.0727171039888674,98,9.597482681274414,11,50,50,100,1
1.1278924715071295,1.1278924715071295,24,3.2964258193969727,11,50,100,25,1
1.1260517053966737,1.1261644458557643,48,6.7763612270355225,11,50,100,50,1
1.082535558605634,1.0828604817347802,98,13.186498165130615,11,50,100,100,1
1.1340362404226003,1.1340362404226003,24,4.588263273239136,13,50,150,25,1
1.1384126240392953,1.1384126240392953,49,9.444249153137207,11,50,150,50,1
1.1310881868823721,1.131873339569097,93,19.302652597427368,11,50,150,100,1
